PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
2031,24808716,919612,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000706402-01/146445777,,Activator,10,144.68,,45,Partial curve; high efficacy,-5,1,0.9999,186.151,41.4714,2.1,0 0 0 0,160.752,,,,,47.1319,,,,,63.7044,,,,,,110.799,,,,160.752,,,QC'd by Asinex Ltd.
2032,24808763,950199,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000706450-01/146583915,,Activator,1.9953,127.146,,87,Complete curve; high efficacy,-5.7,1.8851,0.9998,122.073,-5.0726,1.1,0 0 0 0,120.388,,,,,-0.2073,,,,,53.7893,,,,,,116.07,,,,120.388,,,QC'd by Asinex Ltd.
2033,24808841,720656,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000710046-01/146599663,,Activator,11.2202,151.351,,43,Partial curve; high efficacy,-4.95,4.9549,0.9999,142.052,-9.2985,2.1,0 0 0 0,141.769,,,,,-9.0052,,,,,-8.4562,,,,,,31.3128,,,,141.769,,,QC'd by Asinex Ltd.
2034,24809052,16192944,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718840-01/146281490,,Activator,8.9125,160.35,,44,Partial curve; high efficacy,-5.05,1.2221,1,150.484,-9.8652,2.1,0 0 0 0,131.313,,,,,-6.4983,,,,,10.6851,,,,,,72.4728,,,,131.313,,,QC'd by Asinex Ltd.
2035,24809122,683741,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000707282-01/146538942,,Activator,4.4668,152.098,,46,Partial curve; high efficacy,-5.35,1.0641,0.9997,135.975,-16.1224,2.1,0 0 0 0,125.903,,,,,-5.7553,,,,,25.6007,,,,,,87.9513,,,,125.903,,,QC'd by Asinex Ltd.
2036,24809249,750284,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000710596-01/146400947,,Activator,7.9433,145.599,,44,Partial curve; high efficacy,-5.1,1.8851,0.9992,146.982,1.3827,2.1,0 0 0 0,142.424,,,,,4.1507,,,,,8.5473,,,,,,82.9912,,,,142.424,,,QC'd by Asinex Ltd.
2037,24809392,733672,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000716684-01/146396634,,Activator,7.9433,223.472,,46,Partial curve; high efficacy,-5.1,0.8,0.9995,210.47,-13.002,2.1,0 0 0 0,167.839,,,,,5.314,,,,,40.1835,,,,,,103.121,,,,167.839,,,QC'd by Asinex Ltd.
2038,24809439,837046,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000717133-01/146491761,,Activator,3.9811,125.626,,86,Complete curve; high efficacy,-5.4,2.3531,0.9998,123.368,-2.2572,1.1,0 0 0 0,123.864,,,,,-1.3593,,,,,15.3898,,,,,,106.74,,,,123.864,,,QC'd by Asinex Ltd.
2039,24809441,3192345,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000717127-01/146491168,,Activator,6.3096,151.36,,45,Partial curve; high efficacy,-5.2,1,0.9997,138.073,-13.2869,2.1,0 0 0 0,119.855,,,,,-5.8353,,,,,22.3098,,,,,,76.0583,,,,119.855,,,QC'd by Asinex Ltd.
2040,24809514,1155332,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000709526-01/146258603,,Activator,7.0795,237.564,,48,Partial curve; high efficacy,-5.15,1.331,1,235.417,-2.1478,2.1,0 0 0 0,216.774,,,,,1.9953,,,,,32.188,,,,,,137.406,,,,216.774,,,QC'd by Asinex Ltd.
2041,24809625,5759277,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000710602-01/146440611,,Activator,7.0795,181.488,,45,Partial curve; high efficacy,-5.15,1.5579,0.9997,166.914,-14.5739,2.1,0 0 0 0,158.966,,,,,-11.4349,,,,,4.2991,,,,,,93.46,,,,158.966,,,QC'd by Asinex Ltd.
2042,24809636,3146879,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000693626-01/146490977,,Activator,10,166.298,,44,Partial curve; high efficacy,-5,2.2481,1,167.101,0.8029,2.1,0 0 0 0,161.919,,,,,1.3309,,,,,4.7563,,,,,,76.1418,,,,161.919,,,QC'd by Asinex Ltd.
2043,24809661,6861776,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000710792-01/146491920,,Activator,12.5893,131.366,,43,Partial curve; high efficacy,-4.9,1.4487,0.9997,132.518,1.1518,2.1,0 0 0 0,116.244,,,,,1.0599,,,,,9.1937,,,,,,52.177,,,,116.244,,,QC'd by Asinex Ltd.
2044,24809683,6880157,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856093-01/146398831,,Activator,5.0119,110.611,,44,Partial curve; high efficacy,-5.3,1.4781,1,111.652,1.0407,2.1,0 0 0 0,107.564,,,,,3.4931,,,,,21.6436,,,,,,80.1209,,,,107.564,,,QC'd by Asinex Ltd.
2045,24809688,3104717,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000710639-01/146394676,,Activator,10,122.076,,43,Partial curve; high efficacy,-5,2.0479,0.9995,122.076,0,2.1,0 0 0 0,116.263,,,,,0.3003,,,,,2.7469,,,,,,57.6014,,,,116.263,,,QC'd by null
2046,24809706,862702,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000710567-01/146285054,,Activator,12.5893,145.909,,43,Partial curve; high efficacy,-4.9,1.2221,0.999,128.358,-17.5509,2.1,0 0 0 0,103.85,,,,,-17.6636,,,,,-2.8034,,,,,,41.0346,,,,103.85,,,QC'd by Asinex Ltd.
2047,24809790,6870647,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000719953-01/146390050,,Activator,3.5481,161.129,,48,Partial curve; high efficacy,-5.45,1.1,0.9999,163.234,2.105,2.1,0 0 0 0,154.577,,,,,14.2411,,,,,55.4656,,,,,,121.232,,,,154.577,,,QC'd by Chem Div
2048,24810098,759401,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856085-01/146528168,,Activator,3.1623,108.715,,85,Complete curve; high efficacy,-5.5,1.3723,0.9998,108.715,0,1.1,0 0 0 0,106.583,,,,,5.7506,,,,,34.388,,,,,,87.8813,,,,106.583,,,QC'd by Asinex Ltd.
2049,24810100,5721129,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000718120-01/146258272,,Activator,14.1254,164.144,,43,Partial curve; high efficacy,-4.85,4.095,0.9993,161.919,-2.2249,2.1,0 0 0 0,158.744,,,,,-0.3614,,,,,-4.5761,,,,,,22.8631,,,,158.744,,,QC'd by Asinex Ltd.
2050,24810108,773605,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856098-01/146350361,,Activator,3.1623,184.043,,88,Complete curve; high efficacy,-5.5,1.1341,0.9998,163.958,-20.085,1.1,0 0 0 0,156.151,,,,,-5.932,,,,,45.3718,,,,,,120.84,,,,156.151,,,QC'd by Asinex Ltd.
2051,24810396,912623,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000727790-01/146401987,,Activator,8.9125,181.675,,45,Partial curve; high efficacy,-5.05,1.2221,0.9999,186.358,4.683,2.1,0 0 0 0,165.211,,,,,9.1117,,,,,27.366,,,,,,96.6233,,,,165.211,,,QC'd by null
2052,24810427,4146173,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000729602-01/146282375,,Activator,12.5893,178.911,,44,Partial curve; high efficacy,-4.9,4.095,0.9989,183.456,4.5444,2.1,0 0 0 0,183.089,,,,,1.3114,,,,,8.288,,,,,,43.6994,,,,183.089,,,QC'd by Chem Div
2053,24810497,4128025,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724214-01/146396120,,Activator,6.3096,101.085,,43,Partial curve; high efficacy,-5.2,1.8851,0.9989,94.9538,-6.1306,2.1,0 0 0 0,93.092,,,,,-3.7088,,,,,1.2006,,,,,,61.3392,,,,93.092,,,QC'd by Chem Div
2054,24810614,16193169,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724227-01/146545267,,Activator,8.9125,148.762,,44,Partial curve; high efficacy,-5.05,1.9673,0.9992,134.783,-13.9792,2.1,0 0 0 0,128.365,,,,,-12.2352,,,,,-9.9226,,,,,,64.3039,,,,128.365,,,QC'd by null
2055,24810711,15987645,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000729810-01/146591936,,Activator,6.3096,101.074,,44,Partial curve; high efficacy,-5.2,1.21,1,100.134,-0.94,2.1,0 0 0 0,91.6976,,,,,2.2976,,,,,17.5656,,,,,,61.2949,,,,91.6976,,,QC'd by null
2056,24810900,6893677,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000722858-01/146390304,,Activator,3.1623,141.177,,86,Complete curve; high efficacy,-5.5,1.8617,0.9998,126.191,-14.9862,1.1,0 0 0 0,125.939,,,,,-11.9141,,,,,21.808,,,,,,108.03,,,,125.939,,,QC'd by Chem Div
2057,24810951,5724621,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724348-01/146441606,,Activator,8.9125,182.928,,45,Partial curve; high efficacy,-5.05,0.8,0.9996,198.114,15.1864,2.1,0 0 0 0,159.512,,,,,27.4562,,,,,56.8649,,,,,,106.589,,,,159.512,,,QC'd by Chem Div
2058,24810958,5779112,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724105-01/146487624,,Activator,7.9433,121.53,,43,Partial curve; high efficacy,-5.1,1.7137,0.9997,113.465,-8.065,2.1,0 0 0 0,108.683,,,,,-6.7208,,,,,1.1019,,,,,,59.3318,,,,108.683,,,QC'd by Chem Div
2059,24810966,9586298,Active,50,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724112-01/146388623,,Activator,7.9433,336.235,,50,Partial curve; high efficacy,-5.1,1.5095,0.9999,331.58,-4.6547,2.1,0 0 0 0,310.469,,,,,0.1584,,,,,27.7522,,,,,,181.427,,,,310.469,,,QC'd by Chem Div
2060,24810990,682158,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000722786-01/146499877,,Activator,12.5893,199.792,,44,Partial curve; high efficacy,-4.9,4.095,0.9998,189.993,-9.7992,2.1,0 0 0 0,189.614,,,,,-10.6696,,,,,-8.1166,,,,,,32.6523,,,,189.614,,,QC'd by Chem Div
2061,24811076,9622436,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724065-01/146441132,,Activator,5.0119,145.634,,46,Partial curve; high efficacy,-5.3,1.1341,0.9998,146.92,1.2862,2.1,0 0 0 0,136.797,,,,,8.1775,,,,,35.9457,,,,,,99.1299,,,,136.797,,,QC'd by Chem Div
2062,24811080,6401041,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000728148-01/146601292,,Activator,10,127.49,,43,Partial curve; high efficacy,-5,1.8617,0.9998,126.063,-1.4267,2.1,0 0 0 0,118.704,,,,,-0.6914,,,,,2.6851,,,,,,58.28,,,,118.704,,,QC'd by Chem Div
2063,24811089,5958027,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724062-01/146285420,,Activator,7.0795,106.419,,43,Partial curve; high efficacy,-5.15,1.8851,0.9996,99.8827,-6.5363,2.1,0 0 0 0,96.2261,,,,,-6.7339,,,,,1.462,,,,,,61.0659,,,,96.2261,,,QC'd by Chem Div
2064,24811101,1502310,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000728954-01/146584143,,Activator,6.3096,176.434,,86,Complete curve; high efficacy,-5.2,4.9549,1,175.553,-0.8808,1.1,0 0 0 0,175.202,,,,,-0.734,,,,,-0.1793,,,,,,152.165,,,,175.202,,,QC'd by Chem Div
2065,24811213,863021,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000711587-01/146486403,,Activator,12.5893,200.675,,44,Partial curve; high efficacy,-4.9,1.2876,0.9994,199.024,-1.6513,2.1,0 0 0 0,166.687,,,,,-1.3761,,,,,16.3161,,,,,,79.7394,,,,166.687,,,QC'd by Asinex Ltd.
2066,24811230,238065,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000719861-01/146401872,,Activator,2.5119,141.131,,88,Complete curve; high efficacy,-5.6,1.7137,0.9995,147.886,6.7554,1.1,0 0 0 0,145.844,,,,,10.7367,,,,,60.3108,,,,,,135.481,,,,145.844,,,QC'd by Chem Div
2067,24811279,9557181,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000728073-01/146280977,,Activator,3.1623,169.701,,88,Complete curve; high efficacy,-5.5,1.4781,0.9998,155.959,-13.7423,1.1,0 0 0 0,153.805,,,,,-6.121,,,,,38.2251,,,,,,126.158,,,,153.805,,,QC'd by Chem Div
2068,24811351,5394348,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000728125-01/146332946,,Activator,11.2202,130.172,,42,Partial curve; high efficacy,-4.95,1.3437,0.9998,110.593,-19.579,2.1,0 0 0 0,93.0674,,,,,-18.6431,,,,,-8.6738,,,,,,37.9799,,,,93.0674,,,QC'd by Chem Div
2069,24811380,16193307,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000724275-01/146490108,,Activator,8.9125,177.856,,45,Partial curve; high efficacy,-5.05,1.1,0.9999,174.154,-3.7021,2.1,0 0 0 0,148.85,,,,,0.7675,,,,,22.7759,,,,,,87.5457,,,,148.85,,,QC'd by Chem Div
2070,24811586,9653716,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000723499-01/146487095,,Activator,10,137.393,,43,Partial curve; high efficacy,-5,4.045,1,137.393,0,2.1,0 0 0 0,137.119,,,,,0.247,,,,,0.527,,,,,,57.3421,,,,137.119,,,QC'd by Chem Div
2071,24811731,4641052,Active,56,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689343-01/146586523,,Activator,12.5893,809.73,,56,Partial curve; high efficacy,-4.9,4.5045,1,808.476,-1.2543,2.1,0 0 0 0,806.862,,,,,-4.4256,,,,,0.9627,,,,,,160.666,,,,806.862,,,QC'd by Chem Div
2072,24811796,16003602,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689271-01/146583572,,Activator,12.5893,117.28,,42,Partial curve; high efficacy,-4.9,4.095,0.9987,112.293,-4.987,2.1,0 0 0 0,111.402,,,,,-7.6275,,,,,-2.8442,,,,,,21.3527,,,,111.402,,,QC'd by Chem Div
2073,24811808,6865117,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000723710-01/146491008,,Activator,7.0795,124.639,,44,Partial curve; high efficacy,-5.15,1.3723,0.9999,109.324,-15.3147,2.1,0 0 0 0,100.114,,,,,-13.2345,,,,,1.6462,,,,,,58.8763,,,,100.114,,,QC'd by Chem Div
2074,24811865,4157311,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000621971-01/146282776,,Activator,6.3096,137.147,,45,Partial curve; high efficacy,-5.2,1.8265,0.9999,137.147,0,2.1,0 0 0 0,133.672,,,,,1.5871,,,,,12.6618,,,,,,91.7218,,,,133.672,,,QC'd by Chem Div
2075,24811963,3664102,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000723627-01/146440990,,Activator,11.2202,141.673,,43,Partial curve; high efficacy,-4.95,4.9549,0.9997,140.965,-0.7077,2.1,0 0 0 0,141.531,,,,,0,,,,,0.0485,,,,,,36.5951,,,,141.531,,,QC'd by Chem Div
2076,24811973,16193476,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000621228-01/146437639,,Activator,6.3096,154.22,,45,Partial curve; high efficacy,-5.2,1.4641,0.9989,151.399,-2.8207,2.1,0 0 0 0,140.185,,,,,-0.0139,,,,,17.6176,,,,,,96.3216,,,,140.185,,,QC'd by Chem Div
2077,24811974,16193477,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000621229-01/146584006,,Activator,5.0119,191.758,,48,Partial curve; high efficacy,-5.3,1.1705,1,189.223,-2.535,2.1,0 0 0 0,175.206,,,,,6.2065,,,,,42.5759,,,,,,126.441,,,,175.206,,,QC'd by Chem Div
2078,24812184,6618959,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000660450-01/146300715,,Activator,12.5893,116.971,,42,Partial curve; high efficacy,-4.9,1.111,0.9988,116.064,-0.9078,2.1,0 0 0 0,94.3606,,,,,0.2821,,,,,13.2532,,,,,,46.3292,,,,94.3606,,,QC'd by Chem Div
2079,24812393,15998484,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000871733-01/146390669,,Activator,3.9811,141.751,,85,Complete curve; high efficacy,-5.4,1.6924,0.9997,102.024,-39.7277,1.1,0 0 0 0,98.391,,,,,-37.6408,,,,,-9.2476,,,,,,75.6775,,,,98.391,,,QC'd by Chem Div
2080,24812617,13004922,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000730786-01/146286024,,Activator,12.5893,150.942,,43,Partial curve; high efficacy,-4.9,4.9549,0.9994,153.925,2.9823,2.1,0 0 0 0,150.907,,,,,3.0254,,,,,1.7914,,,,,,29.8574,,,,150.907,,,QC'd by Chem Div
2081,24812656,5082265,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689384-01/146346132,,Activator,12.5893,165.307,,44,Partial curve; high efficacy,-4.9,4.5045,0.9993,175.382,10.0747,2.1,0 0 0 0,175.031,,,,,7.1205,,,,,11.8995,,,,,,43.7908,,,,175.031,,,QC'd by null
2082,24812660,3379551,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689405-01/146529148,,Activator,11.2202,251.344,,46,Partial curve; high efficacy,-4.95,0.9,0.9997,245.759,-5.5854,2.1,0 0 0 0,190.511,,,,,4.3321,,,,,37.3014,,,,,,107.887,,,,190.511,,,QC'd by Chem Div
2083,24812709,16193754,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000731678-01/146410597,,Activator,3.9811,103.944,,85,Complete curve; high efficacy,-5.4,4.9549,0.9985,103.944,0,1.1,0 0 0 0,101.281,,,,,0.6832,,,,,1.4012,,,,,,104.994,,,,101.281,,,QC'd by Chem Div
2084,24812711,16193755,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000731677-01/146407537,,Activator,10,147.73,,44,Partial curve; high efficacy,-5,2.5334,0.999,148.454,0.7235,2.1,0 0 0 0,144.692,,,,,2.805,,,,,0,,,,,,68.0957,,,,144.692,,,QC'd by null
2085,24812805,6618900,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000660699-01/146349547,,Activator,11.2202,255.038,,46,Partial curve; high efficacy,-4.95,1,0.9997,255.038,0,2.1,0 0 0 0,205.345,,,,,7.7374,,,,,37.8738,,,,,,113.332,,,,205.345,,,QC'd by Chem Div
2086,24812814,16193805,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000730299-01/146546296,,Activator,11.2202,106.351,,42,Partial curve; high efficacy,-4.95,4.9549,0.9997,103.338,-3.013,2.1,0 0 0 0,103.753,,,,,-2.5108,,,,,-2.4822,,,,,,25.0373,,,,103.753,,,QC'd by Chem Div
2087,24812889,5331296,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000681663-01/146497394,,Activator,3.1623,187.893,,89,Complete curve; high efficacy,-5.5,3.132,0.9999,184.728,-3.1641,1.1,0 0 0 0,184.36,,,,,-3.4192,,,,,27.3904,,,,,,179.052,,,,184.36,,,QC'd by Chem Div
2088,24812965,16193854,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000731501-01/146540805,,Activator,12.5893,189.525,,44,Partial curve; high efficacy,-4.9,4.9549,0.9992,207.718,18.1926,2.1,0 0 0 0,207.303,,,,,15.8019,,,,,21.4518,,,,,,49.456,,,,207.303,,,QC'd by Chem Div
2089,24813039,900745,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000856860-01/146602388,,Activator,7.0795,141.997,,44,Partial curve; high efficacy,-5.15,1.01,1,130.089,-11.9081,2.1,0 0 0 0,111.187,,,,,-5.079,,,,,16.8765,,,,,,68.9701,,,,111.187,,,QC'd by Asinex Ltd.
2090,24813124,4229368,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689379-01/146445199,,Activator,8.9125,174.146,,45,Partial curve; high efficacy,-5.05,2.3332,0.9987,171.219,-2.927,2.1,0 0 0 0,168.855,,,,,1.0434,,,,,-1.0235,,,,,,85.8709,,,,168.855,,,QC'd by Chem Div
2091,24813185,16193945,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000731466-01/146401711,,Activator,12.5893,134.07,,43,Partial curve; high efficacy,-4.9,4.095,1,134.07,0,2.1,0 0 0 0,133.006,,,,,0,,,,,0,,,,,,29.6184,,,,133.006,,,QC'd by null
2092,24813374,5028022,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000685447-01/146540733,,Activator,5.0119,122.703,,44,Partial curve; high efficacy,-5.3,1.6924,0.9991,103.881,-18.822,2.1,0 0 0 0,102.446,,,,,-18.714,,,,,2.1913,,,,,,70.8814,,,,102.446,,,QC'd by Chem Div
2093,24813444,6293048,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000686389-01/146285356,,Activator,11.2202,143.329,,43,Partial curve; high efficacy,-4.95,1.8579,0.9998,141.693,-1.6364,2.1,0 0 0 0,131.93,,,,,-1.9214,,,,,2.7491,,,,,,58.3316,,,,131.93,,,QC'd by Chem Div
2094,24813657,4165367,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000731554-01/146500072,,Activator,10,201.68,,45,Partial curve; high efficacy,-5,1.2221,1,201.68,0,2.1,0 0 0 0,175.069,,,,,3.5822,,,,,22.9081,,,,,,95.6248,,,,175.069,,,QC'd by Chem Div
2095,24813900,16194187,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000621187-01/146485885,,Activator,10,145.46,,44,Partial curve; high efficacy,-5,4.5045,1,141.171,-4.2891,2.1,0 0 0 0,140.889,,,,,-4.7883,,,,,-3.8253,,,,,,55.0864,,,,140.889,,,QC'd by Chem Div
2096,24813959,3550503,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689521-01/146545758,,Activator,11.2202,101.877,,42,Partial curve; high efficacy,-4.95,4.5045,0.999,99.172,-2.7052,2.1,0 0 0 0,98.9741,,,,,-4.8499,,,,,-1.3468,,,,,,27.5838,,,,98.9741,,,QC'd by Chem Div
2097,24814003,16194202,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689751-01/146591276,,Activator,6.3096,113.204,,44,Partial curve; high efficacy,-5.2,0.9,0.9993,122.251,9.0465,2.1,0 0 0 0,106.12,,,,,15.6553,,,,,38.0122,,,,,,74.6313,,,,106.12,,,QC'd by Chem Div
2098,24814115,16194228,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000730737-01/146500348,,Activator,7.9433,121.511,,44,Partial curve; high efficacy,-5.1,1.4787,0.9999,118.237,-3.2745,2.1,0 0 0 0,109.479,,,,,-2.2631,,,,,8.7137,,,,,,64.8205,,,,109.479,,,QC'd by Chem Div
2099,24814287,16194290,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000621226-01/146282108,,Activator,3.9811,118.17,,86,Complete curve; high efficacy,-5.4,1.5579,0.9998,131.119,12.9488,1.1,0 0 0 0,127.796,,,,,15.198,,,,,40.3084,,,,,,107.034,,,,127.796,,,QC'd by Chem Div
2100,24814383,16194329,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000621188-01/146583766,,Activator,7.9433,201.105,,46,Partial curve; high efficacy,-5.1,1.8265,0.9999,214.493,13.3878,2.1,0 0 0 0,206.641,,,,,15.3859,,,,,25.4761,,,,,,126.747,,,,206.641,,,QC'd by Chem Div
2101,24814453,16194361,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000871642-01/146347932,,Activator,6.3096,148.154,,45,Partial curve; high efficacy,-5.2,2.6384,0.9992,149.836,1.6814,2.1,0 0 0 0,149.536,,,,,-0.474,,,,,9.8239,,,,,,109.391,,,,149.536,,,QC'd by Chem Div
2102,24814725,3367040,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000719843-01/146497521,,Activator,4.4668,183.163,,48,Partial curve; high efficacy,-5.35,1.2876,0.9997,182.333,-0.8296,2.1,0 0 0 0,173.651,,,,,7.7275,,,,,41.8786,,,,,,130.443,,,,173.651,,,QC'd by Chem Div
2103,24814809,9584897,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000681616-01/146602472,,Activator,8.9125,132.124,,44,Partial curve; high efficacy,-5.05,2.2526,0.9988,135.322,3.1974,2.1,0 0 0 0,132.668,,,,,5.8374,,,,,4.7727,,,,,,70.384,,,,132.668,,,QC'd by Chem Div
2104,24814887,16194511,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000674793-01/146595817,,Activator,5.6234,178.672,,87,Complete curve; high efficacy,-5.25,2.6384,0.9986,178.787,0.115,1.1,0 0 0 0,179.505,,,,,-2.945,,,,,13.433,,,,,,138.825,,,,179.505,,,QC'd by null
2105,24814905,7066096,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000681756-01/146625181,,Activator,5.0119,174.997,,87,Complete curve; high efficacy,-5.3,4.095,0.9991,187.478,12.4814,1.1,0 0 0 0,187.104,,,,,8.7976,,,,,18.7116,,,,,,173.834,,,,187.104,,,QC'd by Chem Div
2106,24814945,16194535,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000689599-01/146624721,,Activator,12.5893,201.009,,44,Partial curve; high efficacy,-4.9,4.5045,0.9987,196.78,-4.2291,2.1,0 0 0 0,196.387,,,,,0.3613,,,,,-7.7777,,,,,,34.7039,,,,196.387,,,QC'd by Chem Div
